"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"MAP4K3","MAP3K1","Q8IVH8","Q13233","9606.ENSP00000263881","9606.ENSP00000382423"
"MAP4K3","MAP3K1","Q8IVH8","Q13233","9606.ENSP00000263881","9606.ENSP00000382423"
"MAP4K3","MAP3K5","Q8IVH8","Q99683","9606.ENSP00000263881","9606.ENSP00000351908"
"MAP4K3","MAP3K5","Q8IVH8","Q99683","9606.ENSP00000263881","9606.ENSP00000351908"
"MAP4K4","MAP3K1","O95819","Q13233","9606.ENSP00000343658","9606.ENSP00000382423"
"MAP4K4","MAP3K1","O95819","Q13233","9606.ENSP00000343658","9606.ENSP00000382423"
"MAP4K4","MAP3K5","O95819","Q99683","9606.ENSP00000343658","9606.ENSP00000351908"
"MAP4K4","MAP3K5","O95819","Q99683","9606.ENSP00000343658","9606.ENSP00000351908"
"MAPK1","ATF1","P28482","P18846","9606.ENSP00000215832","9606.ENSP00000262053"
"MAPK1","ATF2","P28482","P15336","9606.ENSP00000215832","9606.ENSP00000264110"
"MAPK1","ATF3","P28482","P18847","9606.ENSP00000215832","9606.ENSP00000344352"
"MAPK1","ATF4","P28482","P18848","9606.ENSP00000215832","9606.ENSP00000336790"
"MAPK1","ATF6B","P28482","Q99941","9606.ENSP00000215832","9606.ENSP00000364349"
"MAPK1","ATF6","P28482","P18850","9606.ENSP00000215832","9606.ENSP00000356919"
"MAPK1","ATF7","P28482","P17544","9606.ENSP00000215832","9606.ENSP00000399465"
"MAPK1","CREM","P28482","Q03060","9606.ENSP00000215832","9606.ENSP00000265372"
"MAPK1","JDP2","P28482","Q8WYK2","9606.ENSP00000215832","9606.ENSP00000267569"
"MAPK3","ATF1","P27361","P18846","9606.ENSP00000263025","9606.ENSP00000262053"
"MAPK3","ATF2","P27361","P15336","9606.ENSP00000263025","9606.ENSP00000264110"
"MAPK3","ATF3","P27361","P18847","9606.ENSP00000263025","9606.ENSP00000344352"
"MAPK3","ATF4","P27361","P18848","9606.ENSP00000263025","9606.ENSP00000336790"
"MAPK3","ATF6B","P27361","Q99941","9606.ENSP00000263025","9606.ENSP00000364349"
"MAPK3","ATF6","P27361","P18850","9606.ENSP00000263025","9606.ENSP00000356919"
"MAPK3","ATF7","P27361","P17544","9606.ENSP00000263025","9606.ENSP00000399465"
"MAPK3","CREM","P27361","Q03060","9606.ENSP00000263025","9606.ENSP00000265372"
"MAPK3","JDP2","P27361","Q8WYK2","9606.ENSP00000263025","9606.ENSP00000267569"
"MAPK8","FOS","P45983","P01100","9606.ENSP00000378974","9606.ENSP00000306245"
"MAPK8","JUN","P45983","P05412","9606.ENSP00000378974","9606.ENSP00000360266"
"MAPK9","FOS","P45984","P01100","9606.ENSP00000394560","9606.ENSP00000306245"
"MAPK9","JUN","P45984","P05412","9606.ENSP00000394560","9606.ENSP00000360266"
"MCL1","BCL2L11","Q07820","O43521","9606.ENSP00000358022","9606.ENSP00000376943"
"NFKB1","NFKBIA","P19838","P25963","9606.ENSP00000226574","9606.ENSP00000216797"
"NFKB2","NFKBIA","Q00653","P25963","9606.ENSP00000358983","9606.ENSP00000216797"
"NFKBIA","RELA","P25963","Q04206","9606.ENSP00000216797","9606.ENSP00000384273"
"NFKBIA","RELB","P25963","Q01201","9606.ENSP00000216797","9606.ENSP00000221452"
"NFKBIA","REL","P25963","Q04864","9606.ENSP00000216797","9606.ENSP00000295025"
"PIK3CA","AKT1","P42336","P31749","9606.ENSP00000263967","9606.ENSP00000451828"
"PIK3CA","AKT2","P42336","P31751","9606.ENSP00000263967","9606.ENSP00000375892"
"PIK3CA","AKT3","P42336","Q9Y243","9606.ENSP00000263967","9606.ENSP00000500582"
